method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,68.53,0.0
Baseline,0.0,0.05,67.24666666666666,0.17745108872274754
Baseline,0.0,0.1,63.026666666666664,0.06342099196813665
Baseline,0.0,0.2,48.589999999999996,0.28390139133156855
Baseline,0.0,0.3,36.6,0.1019803902718563
Baseline,0.0,0.4,27.956666666666667,0.16048537489614229
Baseline,0.0,0.5,22.819999999999997,0.22759613353482183
L2,0.001,0.0,68.16,0.0
L2,0.001,0.05,67.57666666666667,0.16937794687883767
L2,0.001,0.1,64.23666666666666,0.11323525167641857
L2,0.001,0.2,50.9,0.28577380332470237
L2,0.001,0.3,37.52333333333333,0.2217105219775476
L2,0.001,0.4,27.42,0.45217990519998186
L2,0.001,0.5,21.28,0.05887840577551933
Dropout,0.3,0.0,71.23,0.0
Dropout,0.3,0.05,69.59333333333335,0.18408935028645546
Dropout,0.3,0.1,63.12333333333333,0.32252476218458326
Dropout,0.3,0.2,42.75666666666667,0.3487437773240159
Dropout,0.3,0.3,28.166666666666668,0.030912061651653857
Dropout,0.3,0.4,20.63,0.05887840577552054
Dropout,0.3,0.5,17.023333333333333,0.28193773938387284
DataAug,2.0,0.0,77.68,0.0
DataAug,2.0,0.05,73.89,0.14719601443879712
DataAug,2.0,0.1,61.98666666666667,0.2485066509282139
DataAug,2.0,0.2,38.446666666666665,0.09285592184789333
DataAug,2.0,0.3,24.406666666666666,0.05312459150169704
DataAug,2.0,0.4,17.88,0.25935818218569123
DataAug,2.0,0.5,14.676666666666668,0.13960261060914653
GaussianNoise,0.1,0.0,63.91,0.0
GaussianNoise,0.1,0.05,64.09666666666668,0.17931970208416825
GaussianNoise,0.1,0.1,63.623333333333335,0.3556527644893089
GaussianNoise,0.1,0.2,59.71333333333333,0.23893281249943535
GaussianNoise,0.1,0.3,50.85333333333333,0.19154343864744666
GaussianNoise,0.1,0.4,40.903333333333336,0.11323525167642103
GaussianNoise,0.1,0.5,33.00666666666667,0.23328570942563545
BatchNorm,1.0,0.0,76.77000000000001,0.0
BatchNorm,1.0,0.05,70.03333333333335,0.35863940416834267
BatchNorm,1.0,0.1,49.096666666666664,0.2604269997949916
BatchNorm,1.0,0.2,26.686666666666667,0.11841546445554228
BatchNorm,1.0,0.3,20.26,0.12754084313139222
BatchNorm,1.0,0.4,17.8,0.13140268896284762
BatchNorm,1.0,0.5,16.173333333333332,0.16499158227686186
L1,0.0001,0.0,64.95,0.0
L1,0.0001,0.05,64.36666666666667,0.10656244908764075
L1,0.0001,0.1,60.129999999999995,0.35693136595149394
L1,0.0001,0.2,45.23666666666666,0.32785498149164977
L1,0.0001,0.3,31.856666666666666,0.1319932658214894
L1,0.0001,0.4,23.7,0.30822070014844744
L1,0.0001,0.5,19.496666666666666,0.07133644853010808

