epoch,reg_method,reg_val,train_acc,val_acc
1,L1,0.0001,0.01644,0.0159
2,L1,0.0001,0.0596,0.0562
3,L1,0.0001,0.11432,0.11
4,L1,0.0001,0.1212,0.1185
5,L1,0.0001,0.15588,0.1521
6,L1,0.0001,0.17892,0.1668
7,L1,0.0001,0.2192,0.1996
8,L1,0.0001,0.22616,0.2033
9,L1,0.0001,0.26936,0.2361
10,L1,0.0001,0.28876,0.2471
11,L1,0.0001,0.31436,0.2608
12,L1,0.0001,0.3402,0.2731
13,L1,0.0001,0.3502,0.2818
14,L1,0.0001,0.3702,0.2839
15,L1,0.0001,0.39944,0.3018
16,L1,0.0001,0.4124,0.3014
17,L1,0.0001,0.43676,0.3142
18,L1,0.0001,0.45548,0.3155
19,L1,0.0001,0.47176,0.3129
20,L1,0.0001,0.4886,0.3255
21,L1,0.0001,0.49992,0.3197
22,L1,0.0001,0.50604,0.315
23,L1,0.0001,0.527,0.3184
24,L1,0.0001,0.51556,0.3096
25,L1,0.0001,0.5596,0.319
26,L1,0.0001,0.55528,0.3106
27,L1,0.0001,0.58404,0.321
28,L1,0.0001,0.58256,0.308
29,L1,0.0001,0.59744,0.3191
30,L1,0.0001,0.59868,0.2998
31,L1,0.0001,0.60748,0.308
32,L1,0.0001,0.6404,0.3129
33,L1,0.0001,0.65164,0.307
34,L1,0.0001,0.61192,0.3059
35,L1,0.0001,0.65152,0.3065
36,L1,0.0001,0.6712,0.303
37,L1,0.0001,0.66524,0.2998
38,L1,0.0001,0.67904,0.3058
39,L1,0.0001,0.68316,0.3011
40,L1,0.0001,0.69944,0.3016
41,L1,0.0001,0.67776,0.2976
42,L1,0.0001,0.69332,0.2992
43,L1,0.0001,0.67756,0.2942
44,L1,0.0001,0.72352,0.2972
45,L1,0.0001,0.7044,0.2975
46,L1,0.0001,0.71632,0.2928
47,L1,0.0001,0.7316,0.2895
48,L1,0.0001,0.70716,0.2848
49,L1,0.0001,0.71464,0.2864
50,L1,0.0001,0.71532,0.2901
51,L1,0.0001,0.73052,0.2948
52,L1,0.0001,0.75056,0.284
53,L1,0.0001,0.73868,0.2834
54,L1,0.0001,0.76232,0.2864
55,L1,0.0001,0.73796,0.2848
56,L1,0.0001,0.72496,0.2758
57,L1,0.0001,0.7528,0.2828
58,L1,0.0001,0.75816,0.2745
59,L1,0.0001,0.757,0.2798
60,L1,0.0001,0.74024,0.2724
1,L1,0.001,0.01112,0.01
2,L1,0.001,0.01112,0.01
3,L1,0.001,0.01112,0.01
4,L1,0.001,0.01112,0.01
5,L1,0.001,0.01112,0.01
6,L1,0.001,0.01112,0.01
7,L1,0.001,0.01112,0.01
8,L1,0.001,0.01112,0.01
9,L1,0.001,0.01112,0.01
10,L1,0.001,0.01112,0.01
11,L1,0.001,0.01112,0.01
12,L1,0.001,0.01112,0.01
13,L1,0.001,0.01112,0.01
14,L1,0.001,0.01112,0.01
15,L1,0.001,0.01112,0.01
16,L1,0.001,0.01112,0.01
17,L1,0.001,0.01112,0.01
18,L1,0.001,0.01112,0.01
19,L1,0.001,0.01112,0.01
20,L1,0.001,0.01112,0.01
21,L1,0.001,0.01112,0.01
22,L1,0.001,0.01112,0.01
23,L1,0.001,0.01112,0.01
24,L1,0.001,0.01112,0.01
25,L1,0.001,0.01112,0.01
26,L1,0.001,0.01112,0.01
27,L1,0.001,0.01112,0.01
28,L1,0.001,0.01112,0.01
29,L1,0.001,0.01112,0.01
30,L1,0.001,0.01112,0.01
31,L1,0.001,0.01112,0.01
32,L1,0.001,0.01112,0.01
33,L1,0.001,0.01112,0.01
34,L1,0.001,0.01112,0.01
35,L1,0.001,0.01112,0.01
36,L1,0.001,0.011,0.01
37,L1,0.001,0.01112,0.01
38,L1,0.001,0.01112,0.01
39,L1,0.001,0.01112,0.01
40,L1,0.001,0.01112,0.01
41,L1,0.001,0.01112,0.01
42,L1,0.001,0.01112,0.01
43,L1,0.001,0.01112,0.01
44,L1,0.001,0.01112,0.01
45,L1,0.001,0.01112,0.01
46,L1,0.001,0.01112,0.01
47,L1,0.001,0.01112,0.01
48,L1,0.001,0.01112,0.01
49,L1,0.001,0.01112,0.01
50,L1,0.001,0.01112,0.01
