step,time
train_batch_1,0.49434661865234375
train_batch_2,0.14919257164001465
train_batch_3,0.14944696426391602
train_batch_4,0.1493210792541504
train_batch_5,0.1473696231842041
train_batch_6,0.14830923080444336
train_batch_7,0.14824128150939941
train_batch_8,0.148848295211792
train_batch_9,0.14745593070983887
train_batch_10,0.14860749244689941
train_batch_11,0.1488628387451172
train_batch_12,0.14989805221557617
train_batch_13,0.14867806434631348
train_batch_14,0.14923095703125
train_batch_15,0.1490495204925537
train_batch_16,0.14941024780273438
train_batch_17,0.1509394645690918
train_batch_18,0.15179657936096191
train_batch_19,0.15061688423156738
train_batch_20,0.14906787872314453
train_batch_21,0.15154552459716797
train_batch_22,0.14938879013061523
train_batch_23,0.15042400360107422
train_batch_24,0.14905166625976562
train_batch_25,0.14962315559387207
train_batch_26,0.1513230800628662
train_batch_27,0.14986824989318848
train_batch_28,0.14944195747375488
train_batch_29,0.15003395080566406
train_batch_30,0.14963746070861816
train_batch_31,0.15086603164672852
train_batch_32,0.1499335765838623
train_batch_33,0.150848388671875
train_batch_34,0.14951467514038086
train_batch_35,0.1503901481628418
train_batch_36,0.15060710906982422
train_batch_37,0.14973950386047363
train_batch_38,0.1498241424560547
train_batch_39,0.1510941982269287
train_batch_40,0.1506052017211914
train_batch_41,0.15062928199768066
train_batch_42,0.15073323249816895
train_batch_43,0.15124797821044922
train_batch_44,0.15070509910583496
train_batch_45,0.14976048469543457
train_batch_46,0.1524214744567871
train_batch_47,0.1508476734161377
train_batch_48,0.15089154243469238
train_batch_49,0.15233969688415527
train_batch_50,0.1508955955505371
train_batch_51,0.15059828758239746
train_batch_52,0.15126705169677734
train_batch_53,0.15091323852539062
train_batch_54,0.15212035179138184
train_batch_55,0.15053629875183105
train_batch_56,0.15090513229370117
train_batch_57,0.15117573738098145
train_batch_58,0.1510481834411621
train_batch_59,0.15165090560913086
train_batch_60,0.15220379829406738
train_batch_61,0.1496124267578125
train_batch_62,0.15035676956176758
train_batch_63,0.13669705390930176
train_epoch,11.586146116256714
eval_batch_1,0.048287391662597656
eval_batch_2,0.043590545654296875
eval_batch_3,0.04353928565979004
eval_batch_4,0.0437312126159668
eval_batch_5,0.04315996170043945
eval_batch_6,0.04233551025390625
eval_batch_7,0.04339289665222168
eval_batch_8,0.04302406311035156
eval_batch_9,0.043398380279541016
eval_batch_10,0.043109893798828125
eval_batch_11,0.04486513137817383
eval_batch_12,0.0424799919128418
eval_batch_13,0.04393148422241211
eval_batch_14,0.0437314510345459
eval_batch_15,0.044736385345458984
eval_batch_16,0.029611587524414062
eval_epoch,1.1103875637054443
train_batch_1,0.15036773681640625
train_batch_2,0.1529839038848877
train_batch_3,0.15079879760742188
train_batch_4,0.15059566497802734
train_batch_5,0.1525557041168213
train_batch_6,0.15204381942749023
train_batch_7,0.1524491310119629
train_batch_8,0.15102601051330566
train_batch_9,0.15096044540405273
train_batch_10,0.15096187591552734
train_batch_11,0.15101099014282227
train_batch_12,0.1505262851715088
train_batch_13,0.15303349494934082
train_batch_14,0.15175962448120117
train_batch_15,0.15316343307495117
