reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg_ORDERED,num_images,n_bins
Dropout,0.3,41,0.7204,0.97604,conv3,train,17.668,25000,10
Dropout,0.3,41,0.7204,0.97604,conv3,val,19.689999999999998,10000,10
Dropout,0.3,41,0.7204,0.97604,fc1,train,62.788,25000,10
Dropout,0.3,41,0.7204,0.97604,fc1,val,65.16,10000,10
Dropout,0.325,60,0.7176,0.9888,conv1,train,1.468,25000,10
Dropout,0.325,60,0.7176,0.9888,conv1,val,2.52,10000,10
Dropout,0.325,60,0.7176,0.9888,conv3,train,42.443999999999996,25000,10
Dropout,0.325,60,0.7176,0.9888,conv3,val,44.690000000000005,10000,10
Dropout,0.325,60,0.7176,0.9888,fc1,train,84.076,25000,10
Dropout,0.325,60,0.7176,0.9888,fc1,val,84.98,10000,10
Dropout,0.35,49,0.724,0.97312,conv1,train,1.196,25000,10
Dropout,0.35,49,0.724,0.97312,conv1,val,2.09,10000,10
Dropout,0.35,49,0.724,0.97312,conv3,train,25.332,25000,10
Dropout,0.35,49,0.724,0.97312,conv3,val,28.59,10000,10
Dropout,0.35,49,0.724,0.97312,fc1,train,54.779999999999994,25000,10
Dropout,0.35,49,0.724,0.97312,fc1,val,56.26,10000,10
Dropout,0.4,52,0.7262,0.9626,conv1,train,1.3599999999999999,25000,10
Dropout,0.4,52,0.7262,0.9626,conv1,val,2.3,10000,10
Dropout,0.4,52,0.7262,0.9626,conv3,train,18.104,25000,10
Dropout,0.4,52,0.7262,0.9626,conv3,val,20.14,10000,10
Dropout,0.4,52,0.7262,0.9626,fc1,train,47.96,25000,10
Dropout,0.4,52,0.7262,0.9626,fc1,val,50.11,10000,10
Dropout,0.425,56,0.7212,0.94892,conv1,train,1.92,25000,10
Dropout,0.425,56,0.7212,0.94892,conv1,val,3.2800000000000002,10000,10
Dropout,0.425,56,0.7212,0.94892,conv3,train,15.784,25000,10
Dropout,0.425,56,0.7212,0.94892,conv3,val,17.419999999999998,10000,10
Dropout,0.425,56,0.7212,0.94892,fc1,train,40.488,25000,10
Dropout,0.425,56,0.7212,0.94892,fc1,val,42.46,10000,10
Dropout,0.45,47,0.7258,0.92576,conv1,train,1.392,25000,10
Dropout,0.45,47,0.7258,0.92576,conv1,val,2.46,10000,10
Dropout,0.45,47,0.7258,0.92576,conv3,train,4.868,25000,10
Dropout,0.45,47,0.7258,0.92576,conv3,val,5.47,10000,10
Dropout,0.45,47,0.7258,0.92576,fc1,train,18.02,25000,10
Dropout,0.45,47,0.7258,0.92576,fc1,val,19.48,10000,10
Dropout,0.475,55,0.7194,0.9208,conv1,train,1.8599999999999999,25000,10
Dropout,0.475,55,0.7194,0.9208,conv1,val,3.2,10000,10
Dropout,0.475,55,0.7194,0.9208,conv3,train,6.432,25000,10
Dropout,0.475,55,0.7194,0.9208,conv3,val,7.33,10000,10
Dropout,0.475,55,0.7194,0.9208,fc1,train,17.904,25000,10
Dropout,0.475,55,0.7194,0.9208,fc1,val,18.98,10000,10
Dropout,0.5,57,0.7244,0.91556,conv1,train,1.5959999999999999,25000,10
Dropout,0.5,57,0.7244,0.91556,conv1,val,2.7199999999999998,10000,10
Dropout,0.5,57,0.7244,0.91556,conv3,train,3.144,25000,10
Dropout,0.5,57,0.7244,0.91556,conv3,val,3.45,10000,10
Dropout,0.5,57,0.7244,0.91556,fc1,train,19.3,25000,10
