reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg_ORDERED,num_images,n_bins
BatchNorm,1.0,57,0.7702,1.0,conv1,train,2.604,25000,30
BatchNorm,1.0,57,0.7702,1.0,conv1,val,4.64,10000,30
BatchNorm,1.0,57,0.7702,1.0,conv3,train,99.528,25000,30
BatchNorm,1.0,57,0.7702,1.0,conv3,val,99.79,10000,30
BatchNorm,1.0,57,0.7702,1.0,fc1,train,100.0,25000,30
BatchNorm,1.0,57,0.7702,1.0,fc1,val,100.0,10000,30
DataAug,0.0,60,0.6853,0.9972,conv1,train,20.948,25000,30
DataAug,0.0,60,0.6853,0.9972,conv1,val,30.509999999999998,10000,30
DataAug,0.0,60,0.6853,0.9972,conv3,train,99.18400000000001,25000,30
DataAug,0.0,60,0.6853,0.9972,conv3,val,99.41,10000,30
DataAug,0.0,60,0.6853,0.9972,fc1,train,100.0,25000,30
DataAug,0.0,60,0.6853,0.9972,fc1,val,100.0,10000,30
DataAug,1.0,19,0.7224,0.90168,conv1,train,7.888000000000001,25000,30
DataAug,1.0,19,0.7224,0.90168,conv1,val,12.629999999999999,10000,30
DataAug,1.0,19,0.7224,0.90168,conv3,train,59.943999999999996,25000,30
DataAug,1.0,19,0.7224,0.90168,conv3,val,64.92,10000,30
DataAug,1.0,19,0.7224,0.90168,fc1,train,100.0,25000,30
DataAug,1.0,19,0.7224,0.90168,fc1,val,100.0,10000,30
DataAug,2.0,58,0.7846,0.87664,conv1,train,26.212000000000003,25000,30
DataAug,2.0,58,0.7846,0.87664,conv1,val,36.64,10000,30
DataAug,2.0,58,0.7846,0.87664,conv3,train,75.836,25000,30
DataAug,2.0,58,0.7846,0.87664,conv3,val,79.67,10000,30
DataAug,2.0,58,0.7846,0.87664,fc1,train,100.0,25000,30
DataAug,2.0,58,0.7846,0.87664,fc1,val,100.0,10000,30
DataAug,3.0,58,0.7752,0.8182,conv1,train,23.396,25000,30
DataAug,3.0,58,0.7752,0.8182,conv1,val,34.510000000000005,10000,30
DataAug,3.0,58,0.7752,0.8182,conv3,train,66.968,25000,30
DataAug,3.0,58,0.7752,0.8182,conv3,val,71.06,10000,30
DataAug,3.0,58,0.7752,0.8182,fc1,train,100.0,25000,30
DataAug,3.0,58,0.7752,0.8182,fc1,val,100.0,10000,30
Dropout,0.0,33,0.6865,0.99256,conv1,train,15.928,25000,30
Dropout,0.0,33,0.6865,0.99256,conv1,val,24.310000000000002,10000,30
Dropout,0.0,33,0.6865,0.99256,conv3,train,97.396,25000,30
Dropout,0.0,33,0.6865,0.99256,conv3,val,98.17,10000,30
Dropout,0.0,33,0.6865,0.99256,fc1,train,100.0,25000,30
Dropout,0.0,33,0.6865,0.99256,fc1,val,100.0,10000,30
Dropout,0.1,20,0.702,0.96104,conv1,train,10.22,25000,30
Dropout,0.1,20,0.702,0.96104,conv1,val,15.68,10000,30
Dropout,0.1,20,0.702,0.96104,conv3,train,48.248000000000005,25000,30
Dropout,0.1,20,0.702,0.96104,conv3,val,53.11,10000,30
Dropout,0.1,20,0.702,0.96104,fc1,train,100.0,25000,30
Dropout,0.1,20,0.702,0.96104,fc1,val,100.0,10000,30
Dropout,0.15,22,0.7125,0.96312,conv1,train,12.488000000000001,25000,30
Dropout,0.15,22,0.7125,0.96312,conv1,val,19.18,10000,30
Dropout,0.15,22,0.7125,0.96312,conv3,train,33.635999999999996,25000,30
Dropout,0.15,22,0.7125,0.96312,conv3,val,38.06,10000,30
Dropout,0.15,22,0.7125,0.96312,fc1,train,100.0,25000,30
Dropout,0.15,22,0.7125,0.96312,fc1,val,100.0,10000,30
Dropout,0.2,20,0.7078,0.91508,conv1,train,12.428,25000,30
Dropout,0.2,20,0.7078,0.91508,conv1,val,18.86,10000,30
Dropout,0.2,20,0.7078,0.91508,conv3,train,38.284,25000,30
Dropout,0.2,20,0.7078,0.91508,conv3,val,41.64,10000,30
Dropout,0.2,20,0.7078,0.91508,fc1,train,99.92,25000,30
Dropout,0.2,20,0.7078,0.91508,fc1,val,99.88,10000,30
Dropout,0.225,46,0.7119,0.99448,conv1,train,20.735999999999997,25000,30
Dropout,0.225,46,0.7119,0.99448,conv1,val,30.3,10000,30
Dropout,0.225,46,0.7119,0.99448,conv3,train,60.15200000000001,25000,30
Dropout,0.225,46,0.7119,0.99448,conv3,val,64.51,10000,30
Dropout,0.225,46,0.7119,0.99448,fc1,train,100.0,25000,30
Dropout,0.225,46,0.7119,0.99448,fc1,val,100.0,10000,30
Dropout,0.25,39,0.7096,0.98572,conv1,train,17.18,25000,30
Dropout,0.25,39,0.7096,0.98572,conv1,val,25.6,10000,30
Dropout,0.25,39,0.7096,0.98572,conv3,train,40.48,25000,30
Dropout,0.25,39,0.7096,0.98572,conv3,val,45.01,10000,30
Dropout,0.25,39,0.7096,0.98572,fc1,train,100.0,25000,30
Dropout,0.25,39,0.7096,0.98572,fc1,val,100.0,10000,30
Dropout,0.275,37,0.713,0.97568,conv1,train,17.552,25000,30
Dropout,0.275,37,0.713,0.97568,conv1,val,26.46,10000,30
Dropout,0.275,37,0.713,0.97568,conv3,train,29.072,25000,30
Dropout,0.275,37,0.713,0.97568,conv3,val,33.17,10000,30
Dropout,0.275,37,0.713,0.97568,fc1,train,100.0,25000,30
Dropout,0.275,37,0.713,0.97568,fc1,val,100.0,10000,30
Dropout,0.3,41,0.7204,0.97604,conv1,train,16.168,25000,30
Dropout,0.3,41,0.7204,0.97604,conv1,val,24.38,10000,30
Dropout,0.3,41,0.7204,0.97604,conv3,train,30.292,25000,30
Dropout,0.3,41,0.7204,0.97604,conv3,val,34.4,10000,30
Dropout,0.3,41,0.7204,0.97604,fc1,train,100.0,25000,30
Dropout,0.3,41,0.7204,0.97604,fc1,val,100.0,10000,30
Dropout,0.325,60,0.7176,0.9888,conv1,train,21.36,25000,30
Dropout,0.325,60,0.7176,0.9888,conv1,val,31.65,10000,30
Dropout,0.325,60,0.7176,0.9888,conv3,train,48.796,25000,30
Dropout,0.325,60,0.7176,0.9888,conv3,val,52.16,10000,30
Dropout,0.325,60,0.7176,0.9888,fc1,train,100.0,25000,30
Dropout,0.325,60,0.7176,0.9888,fc1,val,100.0,10000,30
Dropout,0.35,49,0.724,0.97312,conv1,train,17.896,25000,30
Dropout,0.35,49,0.724,0.97312,conv1,val,26.35,10000,30
Dropout,0.35,49,0.724,0.97312,conv3,train,31.628,25000,30
Dropout,0.35,49,0.724,0.97312,conv3,val,36.34,10000,30
Dropout,0.35,49,0.724,0.97312,fc1,train,100.0,25000,30
Dropout,0.35,49,0.724,0.97312,fc1,val,100.0,10000,30
Dropout,0.4,52,0.7262,0.9626,conv1,train,19.424,25000,30
Dropout,0.4,52,0.7262,0.9626,conv1,val,28.59,10000,30
Dropout,0.4,52,0.7262,0.9626,conv3,train,27.236,25000,30
Dropout,0.4,52,0.7262,0.9626,conv3,val,30.470000000000002,10000,30
Dropout,0.4,52,0.7262,0.9626,fc1,train,100.0,25000,30
Dropout,0.4,52,0.7262,0.9626,fc1,val,99.99,10000,30
Dropout,0.425,56,0.7212,0.94892,conv1,train,22.112000000000002,25000,30
Dropout,0.425,56,0.7212,0.94892,conv1,val,32.7,10000,30
Dropout,0.425,56,0.7212,0.94892,conv3,train,25.012,25000,30
Dropout,0.425,56,0.7212,0.94892,conv3,val,27.91,10000,30
Dropout,0.425,56,0.7212,0.94892,fc1,train,99.996,25000,30
Dropout,0.425,56,0.7212,0.94892,fc1,val,99.99,10000,30
Dropout,0.45,47,0.7258,0.92576,conv1,train,25.268,25000,30
Dropout,0.45,47,0.7258,0.92576,conv1,val,36.77,10000,30
Dropout,0.45,47,0.7258,0.92576,conv3,train,21.951999999999998,25000,30
Dropout,0.45,47,0.7258,0.92576,conv3,val,24.84,10000,30
Dropout,0.45,47,0.7258,0.92576,fc1,train,99.748,25000,30
Dropout,0.45,47,0.7258,0.92576,fc1,val,99.65,10000,30
Dropout,0.475,55,0.7194,0.9208,conv1,train,22.372,25000,30
Dropout,0.475,55,0.7194,0.9208,conv1,val,33.040000000000006,10000,30
Dropout,0.475,55,0.7194,0.9208,conv3,train,21.284,25000,30
Dropout,0.475,55,0.7194,0.9208,conv3,val,23.51,10000,30
Dropout,0.475,55,0.7194,0.9208,fc1,train,99.632,25000,30
Dropout,0.475,55,0.7194,0.9208,fc1,val,99.56,10000,30
Dropout,0.5,57,0.7244,0.91556,conv1,train,25.184,25000,30
Dropout,0.5,57,0.7244,0.91556,conv1,val,35.809999999999995,10000,30
Dropout,0.5,57,0.7244,0.91556,conv3,train,16.375999999999998,25000,30
Dropout,0.5,57,0.7244,0.91556,conv3,val,19.31,10000,30
Dropout,0.5,57,0.7244,0.91556,fc1,train,99.824,25000,30
Dropout,0.5,57,0.7244,0.91556,fc1,val,99.9,10000,30
Dropout,0.525,58,0.7271,0.90092,conv1,train,21.451999999999998,25000,30
Dropout,0.525,58,0.7271,0.90092,conv1,val,31.540000000000003,10000,30
Dropout,0.525,58,0.7271,0.90092,conv3,train,22.304,25000,30
Dropout,0.525,58,0.7271,0.90092,conv3,val,24.75,10000,30
Dropout,0.525,58,0.7271,0.90092,fc1,train,99.892,25000,30
Dropout,0.525,58,0.7271,0.90092,fc1,val,99.81,10000,30
Dropout,0.55,58,0.7173,0.88832,conv1,train,22.116,25000,30
Dropout,0.55,58,0.7173,0.88832,conv1,val,32.9,10000,30
Dropout,0.55,58,0.7173,0.88832,conv3,train,18.184,25000,30
Dropout,0.55,58,0.7173,0.88832,conv3,val,19.189999999999998,10000,30
Dropout,0.55,58,0.7173,0.88832,fc1,train,99.1,25000,30
Dropout,0.55,58,0.7173,0.88832,fc1,val,98.92999999999999,10000,30
Dropout,0.575,46,0.7179,0.84796,conv1,train,18.248,25000,30
Dropout,0.575,46,0.7179,0.84796,conv1,val,27.529999999999998,10000,30
Dropout,0.575,46,0.7179,0.84796,conv3,train,26.012,25000,30
Dropout,0.575,46,0.7179,0.84796,conv3,val,28.18,10000,30
Dropout,0.575,46,0.7179,0.84796,fc1,train,94.464,25000,30
Dropout,0.575,46,0.7179,0.84796,fc1,val,94.43,10000,30
Dropout,0.6,59,0.7112,0.85744,conv1,train,20.756,25000,30
Dropout,0.6,59,0.7112,0.85744,conv1,val,31.5,10000,30
Dropout,0.6,59,0.7112,0.85744,conv3,train,22.323999999999998,25000,30
Dropout,0.6,59,0.7112,0.85744,conv3,val,24.81,10000,30
Dropout,0.6,59,0.7112,0.85744,fc1,train,97.476,25000,30
Dropout,0.6,59,0.7112,0.85744,fc1,val,97.47,10000,30
EarlyStopping,3.0,14,0.6854,0.92332,conv1,train,8.052,25000,30
EarlyStopping,3.0,14,0.6854,0.92332,conv1,val,13.089999999999998,10000,30
EarlyStopping,3.0,14,0.6854,0.92332,conv3,train,61.468,25000,30
EarlyStopping,3.0,14,0.6854,0.92332,conv3,val,66.88,10000,30
EarlyStopping,3.0,14,0.6854,0.92332,fc1,train,100.0,25000,30
EarlyStopping,3.0,14,0.6854,0.92332,fc1,val,100.0,10000,30
EarlyStopping,5.0,16,0.6845,0.9482,conv1,train,10.148,25000,30
EarlyStopping,5.0,16,0.6845,0.9482,conv1,val,16.02,10000,30
EarlyStopping,5.0,16,0.6845,0.9482,conv3,train,69.472,25000,30
EarlyStopping,5.0,16,0.6845,0.9482,conv3,val,74.6,10000,30
EarlyStopping,5.0,16,0.6845,0.9482,fc1,train,100.0,25000,30
EarlyStopping,5.0,16,0.6845,0.9482,fc1,val,100.0,10000,30
EarlyStopping,8.0,11,0.6958,0.86676,conv1,train,6.388000000000001,25000,30
EarlyStopping,8.0,11,0.6958,0.86676,conv1,val,10.09,10000,30
EarlyStopping,8.0,11,0.6958,0.86676,conv3,train,88.024,25000,30
EarlyStopping,8.0,11,0.6958,0.86676,conv3,val,90.8,10000,30
EarlyStopping,8.0,11,0.6958,0.86676,fc1,train,99.98,25000,30
EarlyStopping,8.0,11,0.6958,0.86676,fc1,val,100.0,10000,30
EarlyStopping,12.0,13,0.6848,0.90624,conv1,train,9.644,25000,30
EarlyStopping,12.0,13,0.6848,0.90624,conv1,val,15.07,10000,30
EarlyStopping,12.0,13,0.6848,0.90624,conv3,train,52.568000000000005,25000,30
EarlyStopping,12.0,13,0.6848,0.90624,conv3,val,57.37,10000,30
