reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg,entropy,num_images,n_bins
Dropout,0.225,46,0.7119,0.99448,fc1,val,86.33,1.7933122811190785,10000,30
Dropout,0.25,39,0.7096,0.98572,conv1,train,5.128,1.2410456879234315,25000,30
Dropout,0.25,39,0.7096,0.98572,conv1,val,8.42,1.2436165111243724,10000,30
Dropout,0.25,39,0.7096,0.98572,conv3,train,2.7199999999999998,0.2614477037638426,25000,30
Dropout,0.25,39,0.7096,0.98572,conv3,val,4.29,0.2658046526603401,10000,30
Dropout,0.25,39,0.7096,0.98572,fc1,train,61.160000000000004,1.605441291708052,25000,30
Dropout,0.25,39,0.7096,0.98572,fc1,val,72.86,1.589951975889504,10000,30
Dropout,0.275,37,0.713,0.97568,conv1,train,5.62,1.2640783907032014,25000,30
Dropout,0.275,37,0.713,0.97568,conv1,val,9.54,1.2660203920006752,10000,30
Dropout,0.275,37,0.713,0.97568,conv3,train,1.328,0.1790495139950514,25000,30
Dropout,0.275,37,0.713,0.97568,conv3,val,2.4299999999999997,0.17969878092706204,10000,30
Dropout,0.275,37,0.713,0.97568,fc1,train,46.68,1.4502092813777923,25000,30
Dropout,0.275,37,0.713,0.97568,fc1,val,59.040000000000006,1.4358465662971138,10000,30
Dropout,0.3,41,0.7204,0.97604,conv1,train,4.976,1.1233264824306965,25000,30
Dropout,0.3,41,0.7204,0.97604,conv1,val,8.06,1.1257939221680164,10000,30
Dropout,0.3,41,0.7204,0.97604,conv3,train,1.5879999999999999,0.19453231669813395,25000,30
Dropout,0.3,41,0.7204,0.97604,conv3,val,2.86,0.19582251777499915,10000,30
Dropout,0.3,41,0.7204,0.97604,fc1,train,54.724,1.545492894616723,25000,30
Dropout,0.3,41,0.7204,0.97604,fc1,val,66.95,1.5304253170400859,10000,30
Dropout,0.325,60,0.7176,0.9888,conv1,train,7.031999999999999,1.4168171938371659,25000,30
Dropout,0.325,60,0.7176,0.9888,conv1,val,11.68,1.4169716274023056,10000,30
Dropout,0.325,60,0.7176,0.9888,conv3,train,2.82,0.34793189747571945,25000,30
Dropout,0.325,60,0.7176,0.9888,conv3,val,4.71,0.35235778160616754,10000,30
Dropout,0.325,60,0.7176,0.9888,fc1,train,74.848,1.7864568962198495,25000,30
Dropout,0.325,60,0.7176,0.9888,fc1,val,84.56,1.7691317774027586,10000,30
Dropout,0.35,49,0.724,0.97312,conv1,train,4.788,1.2271377316904069,25000,30
Dropout,0.35,49,0.724,0.97312,conv1,val,8.02,1.228826204496622,10000,30
Dropout,0.35,49,0.724,0.97312,conv3,train,2.2079999999999997,0.23472164503842594,25000,30
Dropout,0.35,49,0.724,0.97312,conv3,val,3.7699999999999996,0.23848309201076626,10000,30
Dropout,0.35,49,0.724,0.97312,fc1,train,49.392,1.4767761467900873,25000,30
Dropout,0.35,49,0.724,0.97312,fc1,val,60.6,1.457125054489821,10000,30
Dropout,0.4,52,0.7262,0.9626,conv1,train,6.5360000000000005,1.3762163757371904,25000,30
Dropout,0.4,52,0.7262,0.9626,conv1,val,10.81,1.3786583451628684,10000,30
Dropout,0.4,52,0.7262,0.9626,conv3,train,1.544,0.16978380689799785,25000,30
Dropout,0.4,52,0.7262,0.9626,conv3,val,2.74,0.17426282053440809,10000,30
Dropout,0.4,52,0.7262,0.9626,fc1,train,45.408,1.4366346735844016,25000,30
Dropout,0.4,52,0.7262,0.9626,fc1,val,57.29,1.4149165481798351,10000,30
Dropout,0.425,56,0.7212,0.94892,conv1,train,6.728000000000001,1.4226227033901215,25000,30
Dropout,0.425,56,0.7212,0.94892,conv1,val,11.04,1.4258063592612744,10000,30
Dropout,0.425,56,0.7212,0.94892,conv3,train,1.1199999999999999,0.14516856928020716,25000,30
Dropout,0.425,56,0.7212,0.94892,conv3,val,2.06,0.1466162078373134,10000,30
Dropout,0.425,56,0.7212,0.94892,fc1,train,41.908,1.3861234578490258,25000,30
Dropout,0.425,56,0.7212,0.94892,fc1,val,53.37,1.3615622168973087,10000,30
Dropout,0.45,47,0.7258,0.92576,conv1,train,5.144,1.2868925478601456,25000,30
Dropout,0.45,47,0.7258,0.92576,conv1,val,8.39,1.2879398338317871,10000,30
Dropout,0.45,47,0.7258,0.92576,conv3,train,1.088,0.17140324268341064,25000,30
Dropout,0.45,47,0.7258,0.92576,conv3,val,2.13,0.17014873342812062,10000,30
Dropout,0.45,47,0.7258,0.92576,fc1,train,23.836,1.1378551712593437,25000,30
Dropout,0.45,47,0.7258,0.92576,fc1,val,33.22,1.1150552468314767,10000,30
Dropout,0.475,55,0.7194,0.9208,conv1,train,6.723999999999999,1.4037476054382325,25000,30
Dropout,0.475,55,0.7194,0.9208,conv1,val,11.3,1.4043775801599025,10000,30
Dropout,0.475,55,0.7194,0.9208,conv3,train,1.0,0.12284286240100861,25000,30
Dropout,0.475,55,0.7194,0.9208,conv3,val,2.0500000000000003,0.12159401699230075,10000,30
