reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,dispersion_ratio,num_images
Dropout,0.6,60,0.3347,0.47968,conv1,train,1.1929111045347132,25000
Dropout,0.6,60,0.3347,0.47968,conv1,val,1.1892291378837474,10000
Dropout,0.6,60,0.3347,0.47968,conv3,train,0.5487748036998116,25000
Dropout,0.6,60,0.3347,0.47968,conv3,val,0.5495668772688609,10000
Dropout,0.6,60,0.3347,0.47968,fc1,train,0.5950514313192865,25000
Dropout,0.6,60,0.3347,0.47968,fc1,val,0.5913397280378492,10000
EarlyStopping,3.0,13,0.3272,0.55928,conv1,train,1.0718967952033525,25000
EarlyStopping,3.0,13,0.3272,0.55928,conv1,val,1.0719531063765433,10000
EarlyStopping,3.0,13,0.3272,0.55928,conv3,train,0.9242776996633585,25000
EarlyStopping,3.0,13,0.3272,0.55928,conv3,val,0.9239576346005094,10000
EarlyStopping,3.0,13,0.3272,0.55928,fc1,train,1.1442012307050735,25000
EarlyStopping,3.0,13,0.3272,0.55928,fc1,val,1.141439579522993,10000
EarlyStopping,5.0,16,0.3311,0.65316,conv1,train,0.9241953170933366,25000
EarlyStopping,5.0,16,0.3311,0.65316,conv1,val,0.9240046022766595,10000
EarlyStopping,5.0,16,0.3311,0.65316,conv3,train,1.230610841856381,25000
EarlyStopping,5.0,16,0.3311,0.65316,conv3,val,1.230323506806275,10000
EarlyStopping,5.0,16,0.3311,0.65316,fc1,train,1.320631455167152,25000
EarlyStopping,5.0,16,0.3311,0.65316,fc1,val,1.3223125560865374,10000
EarlyStopping,8.0,16,0.3393,0.66168,conv1,train,0.8790642653495839,25000
EarlyStopping,8.0,16,0.3393,0.66168,conv1,val,0.8785651303529822,10000
EarlyStopping,8.0,16,0.3393,0.66168,conv3,train,1.037746739202081,25000
EarlyStopping,8.0,16,0.3393,0.66168,conv3,val,1.0370278271156317,10000
EarlyStopping,8.0,16,0.3393,0.66168,fc1,train,1.19389910154706,25000
EarlyStopping,8.0,16,0.3393,0.66168,fc1,val,1.1913024611421414,10000
EarlyStopping,12.0,15,0.3301,0.63664,conv1,train,0.874102915673893,25000
EarlyStopping,12.0,15,0.3301,0.63664,conv1,val,0.8738427824613657,10000
EarlyStopping,12.0,15,0.3301,0.63664,conv3,train,1.032518926476781,25000
EarlyStopping,12.0,15,0.3301,0.63664,conv3,val,1.0321591494794486,10000
EarlyStopping,12.0,15,0.3301,0.63664,fc1,train,1.3010856608515557,25000
EarlyStopping,12.0,15,0.3301,0.63664,fc1,val,1.3030964031262597,10000
GaussianNoise,0.01,14,0.3279,0.56748,conv1,train,1.027489271950258,25000
GaussianNoise,0.01,14,0.3279,0.56748,conv1,val,1.027642656478688,10000
GaussianNoise,0.01,14,0.3279,0.56748,conv3,train,0.9811429382307146,25000
GaussianNoise,0.01,14,0.3279,0.56748,conv3,val,0.9818756859272914,10000
GaussianNoise,0.01,14,0.3279,0.56748,fc1,train,1.1483651422598362,25000
GaussianNoise,0.01,14,0.3279,0.56748,fc1,val,1.1500658634766903,10000
GaussianNoise,0.05,16,0.3239,0.63788,conv1,train,1.0673965506196135,25000
GaussianNoise,0.05,16,0.3239,0.63788,conv1,val,1.0675874477421803,10000
GaussianNoise,0.05,16,0.3239,0.63788,conv3,train,1.110969159926381,25000
GaussianNoise,0.05,16,0.3239,0.63788,conv3,val,1.1104624483912275,10000
GaussianNoise,0.05,16,0.3239,0.63788,fc1,train,1.316392200857005,25000
GaussianNoise,0.05,16,0.3239,0.63788,fc1,val,1.3172823683084118,10000
GaussianNoise,0.1,18,0.3165,0.65128,conv1,train,1.0659550259372617,25000
GaussianNoise,0.1,18,0.3165,0.65128,conv1,val,1.0653245175363273,10000
GaussianNoise,0.1,18,0.3165,0.65128,conv3,train,1.2211839759074412,25000
GaussianNoise,0.1,18,0.3165,0.65128,conv3,val,1.2202242289788834,10000
GaussianNoise,0.1,18,0.3165,0.65128,fc1,train,1.347263800697316,25000
