reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg,entropy,num_images,n_bins
Dropout,0.5,52,0.3489,0.56876,conv3,train,0.836,0.11696436500370502,25000,10
Dropout,0.5,52,0.3489,0.56876,conv3,val,1.6500000000000001,0.12065743840783834,10000,10
Dropout,0.5,52,0.3489,0.56876,fc1,train,5.800000000000001,1.0075210812187194,25000,10
Dropout,0.5,52,0.3489,0.56876,fc1,val,8.27,1.0093692339181901,10000,10
Dropout,0.6,60,0.3347,0.47968,conv1,train,1.388,0.7160007339596748,25000,10
Dropout,0.6,60,0.3347,0.47968,conv1,val,2.35,0.7129888748377562,10000,10
Dropout,0.6,60,0.3347,0.47968,conv3,train,0.468,0.04947184748530388,25000,10
Dropout,0.6,60,0.3347,0.47968,conv3,val,1.0,0.050698304319381715,10000,10
Dropout,0.6,60,0.3347,0.47968,fc1,train,2.48,0.9763396619102359,25000,10
Dropout,0.6,60,0.3347,0.47968,fc1,val,4.05,0.9783821203291416,10000,10
EarlyStopping,3.0,13,0.3272,0.55928,conv1,train,0.608,1.0023581766247749,25000,10
EarlyStopping,3.0,13,0.3272,0.55928,conv1,val,1.23,1.0029601648151873,10000,10
EarlyStopping,3.0,13,0.3272,0.55928,conv3,train,2.084,0.37701233093559744,25000,10
EarlyStopping,3.0,13,0.3272,0.55928,conv3,val,3.35,0.3836473461933434,10000,10
EarlyStopping,3.0,13,0.3272,0.55928,fc1,train,25.363999999999997,1.2396251832437515,25000,10
EarlyStopping,3.0,13,0.3272,0.55928,fc1,val,35.0,1.2400627619683742,10000,10
EarlyStopping,5.0,16,0.3311,0.65316,conv1,train,0.8160000000000001,0.9598392121386528,25000,10
EarlyStopping,5.0,16,0.3311,0.65316,conv1,val,1.49,0.9605081320285798,10000,10
EarlyStopping,5.0,16,0.3311,0.65316,conv3,train,4.74,0.641738045142591,25000,10
EarlyStopping,5.0,16,0.3311,0.65316,conv3,val,7.31,0.6516696490868926,10000,10
EarlyStopping,5.0,16,0.3311,0.65316,fc1,train,35.54,1.3443459072160722,25000,10
EarlyStopping,5.0,16,0.3311,0.65316,fc1,val,47.07,1.3471808826088905,10000,10
EarlyStopping,8.0,16,0.3393,0.66168,conv1,train,0.596,0.9475238166952134,25000,10
EarlyStopping,8.0,16,0.3393,0.66168,conv1,val,0.9900000000000001,0.948419552886486,10000,10
