method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,91.10000000000001,0.0
Baseline,0.0,0.005,91.05333333333334,0.03681787005729255
Baseline,0.0,0.01,90.99333333333333,0.05249338582674158
Baseline,0.0,0.02,90.82666666666667,0.10656244908764075
Baseline,0.0,0.03,90.64666666666669,0.17931970208417133
Baseline,0.0,0.05,89.73666666666666,0.14704496666741654
Baseline,0.0,0.075,87.92,0.5103593505234
Baseline,0.0,0.1,84.07,1.7692936443677147
Baseline,0.0,0.15,71.0,4.592515650490483
L1,0.0001,0.0,89.25999999999999,0.0
L1,0.0001,0.005,89.34666666666665,0.08956685895029494
L1,0.0001,0.01,89.15333333333335,0.21746008573733802
L1,0.0001,0.02,89.08333333333333,0.17441967269268388
L1,0.0001,0.03,88.61,0.22759613353481617
L1,0.0001,0.05,87.77,0.26495282598983255
L1,0.0001,0.075,85.49666666666667,1.4290634073483954
L1,0.0001,0.1,82.81666666666666,0.8800505036012932
L1,0.0001,0.15,68.22,1.414307840134769
