epoch,reg_method,reg_val,train_acc,val_acc
1,EarlyStopping,3,0.326,0.3289
2,EarlyStopping,3,0.45428,0.4533
3,EarlyStopping,3,0.51296,0.5038
4,EarlyStopping,3,0.59116,0.567
5,EarlyStopping,3,0.62556,0.5898
6,EarlyStopping,3,0.66532,0.6066
7,EarlyStopping,3,0.72156,0.6439
8,EarlyStopping,3,0.75936,0.6686
9,EarlyStopping,3,0.78068,0.6621
10,EarlyStopping,3,0.81644,0.6688
11,EarlyStopping,3,0.85796,0.684
12,EarlyStopping,3,0.87084,0.6809
13,EarlyStopping,3,0.89416,0.67
14,EarlyStopping,3,0.92332,0.6854
15,EarlyStopping,3,0.93896,0.6801
16,EarlyStopping,3,0.92476,0.6629
17,EarlyStopping,3,0.95824,0.6743
1,EarlyStopping,5,0.35432,0.3654
2,EarlyStopping,5,0.42752,0.4299
3,EarlyStopping,5,0.50144,0.5002
4,EarlyStopping,5,0.58116,0.5577
5,EarlyStopping,5,0.64264,0.6096
6,EarlyStopping,5,0.67644,0.6151
7,EarlyStopping,5,0.69116,0.6242
8,EarlyStopping,5,0.76424,0.6659
9,EarlyStopping,5,0.793,0.6705
10,EarlyStopping,5,0.82724,0.6808
11,EarlyStopping,5,0.8524,0.6746
12,EarlyStopping,5,0.86052,0.6652
13,EarlyStopping,5,0.89236,0.6816
14,EarlyStopping,5,0.90928,0.671
15,EarlyStopping,5,0.92824,0.68
16,EarlyStopping,5,0.9482,0.6845
17,EarlyStopping,5,0.93184,0.6621
18,EarlyStopping,5,0.95232,0.6646
19,EarlyStopping,5,0.97236,0.6783
20,EarlyStopping,5,0.96096,0.6692
21,EarlyStopping,5,0.97244,0.6756
1,EarlyStopping,8,0.35064,0.355
2,EarlyStopping,8,0.44112,0.4364
3,EarlyStopping,8,0.53328,0.5246
4,EarlyStopping,8,0.57204,0.5475
5,EarlyStopping,8,0.64372,0.6032
6,EarlyStopping,8,0.67516,0.6217
7,EarlyStopping,8,0.72144,0.6443
8,EarlyStopping,8,0.74532,0.6553
9,EarlyStopping,8,0.78896,0.6697
10,EarlyStopping,8,0.8258,0.6836
11,EarlyStopping,8,0.86676,0.6958
12,EarlyStopping,8,0.88028,0.6791
13,EarlyStopping,8,0.89252,0.6748
14,EarlyStopping,8,0.89816,0.6682
15,EarlyStopping,8,0.92232,0.6843
16,EarlyStopping,8,0.95348,0.6851
17,EarlyStopping,8,0.95648,0.6911
18,EarlyStopping,8,0.95592,0.6747
19,EarlyStopping,8,0.97608,0.6895
1,EarlyStopping,12,0.29912,0.3046
2,EarlyStopping,12,0.42892,0.4321
3,EarlyStopping,12,0.46732,0.4693
4,EarlyStopping,12,0.56172,0.544
5,EarlyStopping,12,0.6038,0.5736
6,EarlyStopping,12,0.6896,0.6402
7,EarlyStopping,12,0.68488,0.6164
8,EarlyStopping,12,0.74184,0.6574
9,EarlyStopping,12,0.7518,0.6452
10,EarlyStopping,12,0.7574,0.6422
11,EarlyStopping,12,0.84024,0.6802
12,EarlyStopping,12,0.87876,0.6801
13,EarlyStopping,12,0.90624,0.6848
14,EarlyStopping,12,0.92744,0.6792
15,EarlyStopping,12,0.92232,0.6751
16,EarlyStopping,12,0.94972,0.6805
17,EarlyStopping,12,0.94852,0.6629
18,EarlyStopping,12,0.96872,0.6772
19,EarlyStopping,12,0.95384,0.6596
20,EarlyStopping,12,0.95688,0.6647
21,EarlyStopping,12,0.96176,0.6705
22,EarlyStopping,12,0.96968,0.6689
23,EarlyStopping,12,0.97392,0.6783
24,EarlyStopping,12,0.96196,0.6639
25,EarlyStopping,12,0.95804,0.6646
1,EarlyStopping,15,0.29112,0.2944
2,EarlyStopping,15,0.4388,0.434
3,EarlyStopping,15,0.5246,0.5124
4,EarlyStopping,15,0.58312,0.5614
5,EarlyStopping,15,0.6332,0.5966
6,EarlyStopping,15,0.67188,0.623
7,EarlyStopping,15,0.7052,0.6354
8,EarlyStopping,15,0.76376,0.6676
9,EarlyStopping,15,0.76856,0.6584
10,EarlyStopping,15,0.8282,0.6743
11,EarlyStopping,15,0.8556,0.6898
12,EarlyStopping,15,0.88412,0.6911
13,EarlyStopping,15,0.89388,0.6741
14,EarlyStopping,15,0.92748,0.689
15,EarlyStopping,15,0.93456,0.6826
16,EarlyStopping,15,0.94344,0.6731
17,EarlyStopping,15,0.96656,0.6832
18,EarlyStopping,15,0.96424,0.678
19,EarlyStopping,15,0.9708,0.6817
20,EarlyStopping,15,0.96956,0.6789
21,EarlyStopping,15,0.9762,0.6872
22,EarlyStopping,15,0.9754,0.6786
23,EarlyStopping,15,0.97172,0.6663
24,EarlyStopping,15,0.97684,0.6735
25,EarlyStopping,15,0.97304,0.6711
26,EarlyStopping,15,0.9846,0.6814
27,EarlyStopping,15,0.98244,0.6763
