epoch,reg_method,reg_val,train_acc,val_acc
14,Dropout,0.25,0.9194,0.8936
15,Dropout,0.25,0.91148,0.8881
16,Dropout,0.25,0.92812,0.8934
17,Dropout,0.25,0.93052,0.8975
18,Dropout,0.25,0.9372,0.8991
19,Dropout,0.25,0.937,0.9002
20,Dropout,0.25,0.94112,0.9031
21,Dropout,0.25,0.93512,0.899
22,Dropout,0.25,0.94288,0.9045
23,Dropout,0.25,0.94848,0.9032
24,Dropout,0.25,0.94872,0.9018
25,Dropout,0.25,0.94244,0.8993
26,Dropout,0.25,0.95396,0.904
27,Dropout,0.25,0.956,0.9074
28,Dropout,0.25,0.95004,0.8996
29,Dropout,0.25,0.95916,0.9065
30,Dropout,0.25,0.96012,0.906
31,Dropout,0.25,0.95832,0.9048
32,Dropout,0.25,0.95904,0.9037
33,Dropout,0.25,0.96752,0.9081
34,Dropout,0.25,0.96856,0.9089
35,Dropout,0.25,0.97212,0.9074
36,Dropout,0.25,0.96896,0.9067
37,Dropout,0.25,0.97244,0.9073
38,Dropout,0.25,0.9708,0.9065
39,Dropout,0.25,0.97656,0.9104
40,Dropout,0.25,0.9728,0.9082
41,Dropout,0.25,0.97832,0.9094
42,Dropout,0.25,0.98188,0.909
43,Dropout,0.25,0.9776,0.9104
44,Dropout,0.25,0.98284,0.9124
45,Dropout,0.25,0.98084,0.9101
46,Dropout,0.25,0.98416,0.9103
47,Dropout,0.25,0.98284,0.9107
48,Dropout,0.25,0.98544,0.9104
49,Dropout,0.25,0.98556,0.9075
50,Dropout,0.25,0.9826,0.9058
51,Dropout,0.25,0.98736,0.9083
52,Dropout,0.25,0.98744,0.9098
53,Dropout,0.25,0.98656,0.9097
54,Dropout,0.25,0.98996,0.9085
55,Dropout,0.25,0.98728,0.9082
56,Dropout,0.25,0.99028,0.9089
57,Dropout,0.25,0.98548,0.9058
58,Dropout,0.25,0.99272,0.9128
59,Dropout,0.25,0.99104,0.9101
60,Dropout,0.25,0.99208,0.9097
1,Dropout,0.3,0.743,0.7375
2,Dropout,0.3,0.8184,0.8082
3,Dropout,0.3,0.83824,0.8239
4,Dropout,0.3,0.86192,0.8506
5,Dropout,0.3,0.87592,0.8595
6,Dropout,0.3,0.8788,0.8607
7,Dropout,0.3,0.88296,0.8712
8,Dropout,0.3,0.88088,0.8628
9,Dropout,0.3,0.9012,0.881
10,Dropout,0.3,0.907,0.8851
11,Dropout,0.3,0.9092,0.8845
12,Dropout,0.3,0.91052,0.8879
13,Dropout,0.3,0.91268,0.8874
14,Dropout,0.3,0.91948,0.8924
15,Dropout,0.3,0.92304,0.8922
16,Dropout,0.3,0.92392,0.8951
17,Dropout,0.3,0.9288,0.899
18,Dropout,0.3,0.93272,0.8974
19,Dropout,0.3,0.93544,0.8984
20,Dropout,0.3,0.94064,0.9021
21,Dropout,0.3,0.94032,0.904
22,Dropout,0.3,0.94028,0.902
23,Dropout,0.3,0.94088,0.9015
24,Dropout,0.3,0.94772,0.9032
25,Dropout,0.3,0.95132,0.9058
26,Dropout,0.3,0.94848,0.9042
27,Dropout,0.3,0.95308,0.9067
28,Dropout,0.3,0.9538,0.9084
29,Dropout,0.3,0.95856,0.9085
30,Dropout,0.3,0.95816,0.9044
31,Dropout,0.3,0.96256,0.9098
