reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg,entropy,num_images,n_bins
Dropout,0.275,37,0.713,0.97568,conv3,train,0.344,0.11046160308629274,25000,10
Dropout,0.275,37,0.713,0.97568,conv3,val,0.7799999999999999,0.11150396139845252,10000,10
Dropout,0.275,37,0.713,0.97568,fc1,train,2.008,0.23523932178944348,25000,10
Dropout,0.275,37,0.713,0.97568,fc1,val,3.75,0.23430920980125666,10000,10
Dropout,0.3,41,0.7204,0.97604,conv1,train,0.27999999999999997,0.1885226895916462,25000,10
Dropout,0.3,41,0.7204,0.97604,conv1,val,0.5700000000000001,0.1895258250296116,10000,10
Dropout,0.3,41,0.7204,0.97604,conv3,train,0.36,0.11724748557627201,25000,10
Dropout,0.3,41,0.7204,0.97604,conv3,val,0.88,0.1198440511263907,10000,10
Dropout,0.3,41,0.7204,0.97604,fc1,train,2.564,0.3059698896354437,25000,10
Dropout,0.3,41,0.7204,0.97604,fc1,val,4.6,0.30534041137993334,10000,10
Dropout,0.325,60,0.7176,0.9888,conv1,train,0.40800000000000003,0.3189160574877262,25000,10
Dropout,0.325,60,0.7176,0.9888,conv1,val,0.74,0.318104470461607,10000,10
Dropout,0.325,60,0.7176,0.9888,conv3,train,0.492,0.3064810170856118,25000,10
Dropout,0.325,60,0.7176,0.9888,conv3,val,1.22,0.31069813928827644,10000,10
Dropout,0.325,60,0.7176,0.9888,fc1,train,4.728000000000001,0.5281069947773218,25000,10
Dropout,0.325,60,0.7176,0.9888,fc1,val,7.7,0.5202430588789284,10000,10
Dropout,0.35,49,0.724,0.97312,conv1,train,0.256,0.15618673125743865,25000,10
Dropout,0.35,49,0.724,0.97312,conv1,val,0.54,0.15605135407447815,10000,10
Dropout,0.35,49,0.724,0.97312,conv3,train,0.44799999999999995,0.18867488853096961,25000,10
Dropout,0.35,49,0.724,0.97312,conv3,val,1.04,0.19233248124569655,10000,10
Dropout,0.35,49,0.724,0.97312,fc1,train,2.308,0.2543526753526926,25000,10
Dropout,0.35,49,0.724,0.97312,fc1,val,4.24,0.2507539841264486,10000,10
Dropout,0.4,52,0.7262,0.9626,conv1,train,0.33999999999999997,0.2755538455271721,25000,10
Dropout,0.4,52,0.7262,0.9626,conv1,val,0.75,0.2759366941571236,10000,10
Dropout,0.4,52,0.7262,0.9626,conv3,train,0.384,0.12370850381284952,25000,10
Dropout,0.4,52,0.7262,0.9626,conv3,val,0.8699999999999999,0.1275187654234469,10000,10
Dropout,0.4,52,0.7262,0.9626,fc1,train,2.292,0.21529676308453083,25000,10
Dropout,0.4,52,0.7262,0.9626,fc1,val,4.01,0.2127691113755107,10000,10
Dropout,0.425,56,0.7212,0.94892,conv1,train,0.38,0.3548145089709759,25000,10
Dropout,0.425,56,0.7212,0.94892,conv1,val,0.8200000000000001,0.35749540195763113,10000,10
Dropout,0.425,56,0.7212,0.94892,conv3,train,0.40800000000000003,0.09631265795052052,25000,10
Dropout,0.425,56,0.7212,0.94892,conv3,val,0.9400000000000001,0.09772133679836989,10000,10
Dropout,0.425,56,0.7212,0.94892,fc1,train,2.268,0.18133553250074386,25000,10
Dropout,0.425,56,0.7212,0.94892,fc1,val,4.06,0.17812828545346857,10000,10
Dropout,0.45,47,0.7258,0.92576,conv1,train,0.22799999999999998,0.24850726785063743,25000,10
Dropout,0.45,47,0.7258,0.92576,conv1,val,0.49,0.24910920618474483,10000,10
Dropout,0.45,47,0.7258,0.92576,conv3,train,0.248,0.030702460480332375,25000,10
Dropout,0.45,47,0.7258,0.92576,conv3,val,0.5700000000000001,0.03028797500655055,10000,10
Dropout,0.45,47,0.7258,0.92576,fc1,train,1.304,0.06654375933229924,25000,10
Dropout,0.45,47,0.7258,0.92576,fc1,val,2.32,0.0657561808720231,10000,10
Dropout,0.475,55,0.7194,0.9208,conv1,train,0.404,0.34369923200130464,25000,10
Dropout,0.475,55,0.7194,0.9208,conv1,val,0.8500000000000001,0.344781595236063,10000,10
Dropout,0.475,55,0.7194,0.9208,conv3,train,0.292,0.03622020772457123,25000,10
Dropout,0.475,55,0.7194,0.9208,conv3,val,0.62,0.03519137459844351,10000,10
Dropout,0.475,55,0.7194,0.9208,fc1,train,1.424,0.06955588488727808,25000,10
Dropout,0.475,55,0.7194,0.9208,fc1,val,2.45,0.06754257655739784,10000,10
Dropout,0.5,57,0.7244,0.91556,conv1,train,0.3,0.2722127625858784,25000,10
Dropout,0.5,57,0.7244,0.91556,conv1,val,0.61,0.2742537984281778,10000,10
Dropout,0.5,57,0.7244,0.91556,conv3,train,0.216,0.016562992111742496,25000,10
Dropout,0.5,57,0.7244,0.91556,conv3,val,0.45999999999999996,0.016159361447393893,10000,10
Dropout,0.5,57,0.7244,0.91556,fc1,train,1.492,0.07454958159893751,25000,10
Dropout,0.5,57,0.7244,0.91556,fc1,val,2.55,0.07281345443576574,10000,10
Dropout,0.525,58,0.7271,0.90092,conv1,train,0.35200000000000004,0.28338850986838343,25000,10
Dropout,0.525,58,0.7271,0.90092,conv1,val,0.74,0.2853142397463322,10000,10
Dropout,0.525,58,0.7271,0.90092,conv3,train,0.24,0.0209195642760396,25000,10
Dropout,0.525,58,0.7271,0.90092,conv3,val,0.53,0.020939976006746294,10000,10
Dropout,0.525,58,0.7271,0.90092,fc1,train,1.736,0.0829837137144804,25000,10
Dropout,0.525,58,0.7271,0.90092,fc1,val,2.83,0.0815193049326539,10000,10
Dropout,0.55,58,0.7173,0.88832,conv1,train,0.328,0.361952891215086,25000,10
Dropout,0.55,58,0.7173,0.88832,conv1,val,0.7000000000000001,0.36266509304940703,10000,10
Dropout,0.55,58,0.7173,0.88832,conv3,train,0.192,0.011350946231484414,25000,10
Dropout,0.55,58,0.7173,0.88832,conv3,val,0.38999999999999996,0.010892596977949143,10000,10
Dropout,0.55,58,0.7173,0.88832,fc1,train,1.264,0.04182858667701483,25000,10
Dropout,0.55,58,0.7173,0.88832,fc1,val,1.94,0.04131452689543366,10000,10
Dropout,0.575,46,0.7179,0.84796,conv1,train,0.268,0.3699889201533794,25000,10
Dropout,0.575,46,0.7179,0.84796,conv1,val,0.54,0.37140026522278785,10000,10
Dropout,0.575,46,0.7179,0.84796,conv3,train,0.104,0.005180319837033749,25000,10
Dropout,0.575,46,0.7179,0.84796,conv3,val,0.25,0.005276544766128063,10000,10
Dropout,0.575,46,0.7179,0.84796,fc1,train,0.72,0.014076204848885537,25000,10
Dropout,0.575,46,0.7179,0.84796,fc1,val,1.13,0.014509597634524108,10000,10
Dropout,0.6,59,0.7112,0.85744,conv1,train,0.348,0.34732535399079323,25000,10
Dropout,0.6,59,0.7112,0.85744,conv1,val,0.7000000000000001,0.3486562890291214,10000,10
Dropout,0.6,59,0.7112,0.85744,conv3,train,0.24,0.018052981076538563,25000,10
Dropout,0.6,59,0.7112,0.85744,conv3,val,0.5,0.017978082790970802,10000,10
Dropout,0.6,59,0.7112,0.85744,fc1,train,1.0999999999999999,0.02832133105367422,25000,10
Dropout,0.6,59,0.7112,0.85744,fc1,val,1.66,0.02753438983634114,10000,10
EarlyStopping,3.0,14,0.6854,0.92332,conv1,train,0.172,0.19139378737926482,25000,10
EarlyStopping,3.0,14,0.6854,0.92332,conv1,val,0.33999999999999997,0.1939583055794239,10000,10
EarlyStopping,3.0,14,0.6854,0.92332,conv3,train,0.188,0.11269469870030879,25000,10
EarlyStopping,3.0,14,0.6854,0.92332,conv3,val,0.44,0.11386617313995957,10000,10
EarlyStopping,3.0,14,0.6854,0.92332,fc1,train,1.0959999999999999,0.15866086431533097,25000,10
EarlyStopping,3.0,14,0.6854,0.92332,fc1,val,2.1,0.1576876034811139,10000,10
EarlyStopping,5.0,16,0.6845,0.9482,conv1,train,0.17600000000000002,0.17063711069107057,25000,10
EarlyStopping,5.0,16,0.6845,0.9482,conv1,val,0.36,0.17487622308433057,10000,10
EarlyStopping,5.0,16,0.6845,0.9482,conv3,train,0.296,0.28304819785416124,25000,10
EarlyStopping,5.0,16,0.6845,0.9482,conv3,val,0.73,0.2837847881034017,10000,10
EarlyStopping,5.0,16,0.6845,0.9482,fc1,train,2.344,0.33475504151791335,25000,10
EarlyStopping,5.0,16,0.6845,0.9482,fc1,val,4.09,0.332379091514647,10000,10
EarlyStopping,8.0,11,0.6958,0.86676,conv1,train,0.172,0.19331389913082123,25000,10
EarlyStopping,8.0,11,0.6958,0.86676,conv1,val,0.32,0.1953441842675209,10000,10
EarlyStopping,8.0,11,0.6958,0.86676,conv3,train,0.06,0.011969820808768272,25000,10
EarlyStopping,8.0,11,0.6958,0.86676,conv3,val,0.15,0.012682667591422796,10000,10
EarlyStopping,8.0,11,0.6958,0.86676,fc1,train,0.33999999999999997,0.03280767653316259,25000,10
EarlyStopping,8.0,11,0.6958,0.86676,fc1,val,0.63,0.03276187013462186,10000,10
EarlyStopping,12.0,13,0.6848,0.90624,conv1,train,0.17600000000000002,0.10683292161226272,25000,10
EarlyStopping,12.0,13,0.6848,0.90624,conv1,val,0.29,0.10847847289443016,10000,10
EarlyStopping,12.0,13,0.6848,0.90624,conv3,train,0.136,0.04532252257734537,25000,10
EarlyStopping,12.0,13,0.6848,0.90624,conv3,val,0.33,0.0456192593306303,10000,10
EarlyStopping,12.0,13,0.6848,0.90624,fc1,train,0.6839999999999999,0.07770669431626796,25000,10
EarlyStopping,12.0,13,0.6848,0.90624,fc1,val,1.31,0.07765339349359274,10000,10
EarlyStopping,15.0,12,0.6911,0.88412,conv1,train,0.152,0.07440154501438141,25000,10
EarlyStopping,15.0,12,0.6911,0.88412,conv1,val,0.27,0.07555759069919586,10000,10
EarlyStopping,15.0,12,0.6911,0.88412,conv3,train,0.11199999999999999,0.02961029448926449,25000,10
EarlyStopping,15.0,12,0.6911,0.88412,conv3,val,0.29,0.030290172071009876,10000,10
EarlyStopping,15.0,12,0.6911,0.88412,fc1,train,0.508,0.05235146352440119,25000,10
