method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,68.53,0.0
Baseline,0.0,0.005,68.48,0.021602468994697338
Baseline,0.0,0.01,68.38666666666667,0.06599663291073753
Baseline,0.0,0.02,68.45666666666666,0.0543650214343324
Baseline,0.0,0.03,68.02666666666666,0.2085398975948976
Baseline,0.0,0.05,67.64666666666666,0.20981473309141985
Baseline,0.0,0.075,66.57666666666667,0.7785599241905262
Baseline,0.0,0.1,64.78666666666665,0.699777742493206
Baseline,0.0,0.15,64.19666666666667,2.2199449442622563
L2,0.001,0.0,68.16,0.0
L2,0.001,0.005,68.26333333333332,0.047842333648024794
L2,0.001,0.01,68.12666666666667,0.02494438257848798
L2,0.001,0.02,68.10333333333332,0.11145502331534049
L2,0.001,0.03,67.88333333333333,0.23098821518760948
L2,0.001,0.05,68.08333333333333,0.32355662392986434
L2,0.001,0.075,67.45,0.7861721609588234
L2,0.001,0.1,65.32,1.0374327287427698
L2,0.001,0.15,61.03666666666667,4.477397557609654
Dropout,0.3,0.0,71.23,0.0
Dropout,0.3,0.005,71.22666666666667,0.02054804667656224
Dropout,0.3,0.01,71.16666666666667,0.10274023338281582
Dropout,0.3,0.02,71.42,0.21969676071045252
Dropout,0.3,0.03,71.38,0.05099019513592792
Dropout,0.3,0.05,71.04,0.19304576314093103
Dropout,0.3,0.075,70.25333333333332,0.40540788788029025
Dropout,0.3,0.1,68.41,1.2943981870609451
Dropout,0.3,0.15,64.83999999999999,1.919652746375414
DataAug,2.0,0.0,77.68,0.0
DataAug,2.0,0.005,77.59666666666668,0.004714045207912729
DataAug,2.0,0.01,77.51333333333334,0.1558489297008136
DataAug,2.0,0.02,77.37666666666668,0.16937794687883767
DataAug,2.0,0.03,77.33,0.2641968962724615
DataAug,2.0,0.05,76.46,0.3023243291566245
DataAug,2.0,0.075,74.16000000000001,2.473418686757257
DataAug,2.0,0.1,67.82000000000001,7.5538467021776405
DataAug,2.0,0.15,65.07,3.1915617911402947
GaussianNoise,0.1,0.0,63.91,0.0
GaussianNoise,0.1,0.005,64.02333333333333,0.05185449728700987
GaussianNoise,0.1,0.01,63.98333333333333,0.0524933858267482
GaussianNoise,0.1,0.02,64.21333333333334,0.040276819911985264
GaussianNoise,0.1,0.03,64.10333333333334,0.1322455628325196
GaussianNoise,0.1,0.05,64.29333333333334,0.3564952859280024
GaussianNoise,0.1,0.075,63.1,0.15748015748023347
GaussianNoise,0.1,0.1,61.956666666666656,1.6606089913710034
GaussianNoise,0.1,0.15,60.63666666666666,1.4329766998183293
BatchNorm,1.0,0.0,76.77000000000001,0.0
BatchNorm,1.0,0.005,76.71333333333332,0.07717224601859721
BatchNorm,1.0,0.01,76.25,0.23151673805580672
BatchNorm,1.0,0.02,75.28333333333332,0.4943233309844441
BatchNorm,1.0,0.03,70.13666666666667,4.477985658257019
BatchNorm,1.0,0.05,69.15333333333334,2.467337746551038
BatchNorm,1.0,0.075,48.123333333333335,5.488122528596541
BatchNorm,1.0,0.1,34.446666666666665,4.244889738130885
BatchNorm,1.0,0.15,31.503333333333334,14.187826550329058
L1,0.0001,0.0,64.95,0.0
L1,0.0001,0.005,64.89999999999999,0.029439202887756852
L1,0.0001,0.01,64.92,0.05354126134736687
L1,0.0001,0.02,64.90666666666665,0.14839886193035057
L1,0.0001,0.03,64.77666666666666,0.2993697082575685
L1,0.0001,0.05,64.84333333333332,0.280515398666256
L1,0.0001,0.075,64.50333333333333,0.5465243717245322
L1,0.0001,0.1,64.71333333333332,0.046427960923948366
L1,0.0001,0.15,59.85666666666666,0.8818667069851859

