method,reg_val,sigma,acc_mean,acc_std
Baseline,0.0,0.0,68.53,0.0
Baseline,0.0,0.005,68.32333333333334,0.07586537784494204
Baseline,0.0,0.01,68.33333333333333,0.07408703590297683
Baseline,0.0,0.02,67.86666666666667,0.04988876515698102
Baseline,0.0,0.03,67.06333333333333,0.25952948879762405
Baseline,0.0,0.05,64.25333333333333,0.49358101890390954
Baseline,0.0,0.075,60.86333333333332,0.7892753357070992
Baseline,0.0,0.1,57.06,0.4257542327055213
Baseline,0.0,0.15,46.89666666666667,1.9631324175635445
L2,0.001,0.0,68.16,0.0
L2,0.001,0.005,68.20666666666666,0.1452201394052861
L2,0.001,0.01,67.74333333333334,0.32887011958454626
L2,0.001,0.02,65.8,0.8485674202246205
L2,0.001,0.03,62.49666666666666,0.25901522906749647
L2,0.001,0.05,53.78,1.2306366915815048
L2,0.001,0.075,46.370000000000005,0.7217109301283089
L2,0.001,0.1,37.480000000000004,1.2066758747346644
L2,0.001,0.15,27.180000000000003,1.586757700469736
Dropout,0.3,0.0,71.23,0.0
Dropout,0.3,0.005,71.38333333333334,0.0418993502999191
Dropout,0.3,0.01,71.32,0.048989794855659616
Dropout,0.3,0.02,71.11999999999999,0.07788880963698525
Dropout,0.3,0.03,70.71,0.3447704550373568
Dropout,0.3,0.05,69.13999999999999,0.23537204591879385
Dropout,0.3,0.075,66.62666666666667,0.07760297817881777
Dropout,0.3,0.1,62.97,0.4746226571358216
Dropout,0.3,0.15,56.89000000000001,0.6315589178110471
DataAug,2.0,0.0,77.68,0.0
DataAug,2.0,0.005,77.52333333333333,0.018856180831637516
DataAug,2.0,0.01,77.41666666666667,0.16819301082056987
DataAug,2.0,0.02,76.83999999999999,0.028284271247469673
DataAug,2.0,0.03,76.08,0.20116328359486527
DataAug,2.0,0.05,73.84333333333332,0.3382635395992604
DataAug,2.0,0.075,69.39666666666666,0.5053271767435049
DataAug,2.0,0.1,63.72666666666667,0.9943954053706344
DataAug,2.0,0.15,54.26,1.6196501679889574
GaussianNoise,0.1,0.0,63.91,0.0
GaussianNoise,0.1,0.005,64.05666666666666,0.15797327481430587
GaussianNoise,0.1,0.01,63.74666666666667,0.11085526098877063
GaussianNoise,0.1,0.02,63.47,0.028284271247462973
GaussianNoise,0.1,0.03,62.86666666666667,0.36123245824384287
GaussianNoise,0.1,0.05,60.72666666666667,0.6040051508242447
GaussianNoise,0.1,0.075,56.973333333333336,0.09877021593353151
GaussianNoise,0.1,0.1,52.07666666666666,0.7307682411149399
GaussianNoise,0.1,0.15,43.800000000000004,0.9313789060670586
BatchNorm,1.0,0.0,76.77000000000001,0.0
BatchNorm,1.0,0.005,76.71333333333332,0.11115554667022247
BatchNorm,1.0,0.01,76.71,0.19815818596935802
BatchNorm,1.0,0.02,76.02333333333334,0.13274871834492954
BatchNorm,1.0,0.03,74.13666666666667,0.16131404843417277
BatchNorm,1.0,0.05,71.18666666666665,0.6235561099229325
BatchNorm,1.0,0.075,66.03666666666668,0.4339994879669285
BatchNorm,1.0,0.1,56.86333333333334,2.8355168057261744
BatchNorm,1.0,0.15,46.51666666666667,2.59995299102802
L1,0.0001,0.0,64.95,0.0
L1,0.0001,0.005,64.85,0.1373559851869059
L1,0.0001,0.01,64.61,0.09201449161228197
L1,0.0001,0.02,63.70333333333334,0.6040051508242474
L1,0.0001,0.03,62.71666666666667,0.21483844059095866
L1,0.0001,0.05,59.55666666666667,1.1320286608071795
L1,0.0001,0.075,52.43000000000001,1.245819676625256
L1,0.0001,0.1,48.04666666666666,0.9137590248832331
L1,0.0001,0.15,35.166666666666664,3.1204949749821576

