method,reg_val,sigma,acc_mean,acc_std
BatchNorm,1.0,0.0,76.77000000000001,0.0
BatchNorm,1.0,0.005,76.64999999999999,0.17146428199482316
BatchNorm,1.0,0.01,76.55333333333334,0.1281492185782781
BatchNorm,1.0,0.02,75.29333333333334,0.2819377393838725
BatchNorm,1.0,0.03,72.85000000000001,1.9043284030509735
BatchNorm,1.0,0.05,68.17999999999999,4.282966261833027
BatchNorm,1.0,0.075,55.4,4.909181873455768
BatchNorm,1.0,0.1,48.81333333333333,4.777233043881734
BatchNorm,1.0,0.15,39.28333333333333,9.123874664247033
Baseline,0.0,0.0,68.53,0.0
Baseline,0.0,0.005,68.41666666666667,0.05436502143433095
Baseline,0.0,0.01,68.43333333333332,0.10964589468932243
Baseline,0.0,0.02,68.37,0.10198039027185957
Baseline,0.0,0.03,68.14666666666666,0.11085526098877577
Baseline,0.0,0.05,67.86333333333334,0.1281492185782781
Baseline,0.0,0.075,67.61,0.22553639765383499
Baseline,0.0,0.1,65.29,1.299256197470946
Baseline,0.0,0.15,61.13333333333333,4.661618698358854
DataAug,2.0,0.0,77.68,0.0
DataAug,2.0,0.005,77.58999999999999,0.09899494936612041
DataAug,2.0,0.01,77.55,0.08485281374238891
DataAug,2.0,0.02,77.34333333333333,0.040276819911985264
DataAug,2.0,0.03,76.99,0.1512172829628485
DataAug,2.0,0.05,76.33666666666667,0.6221646798789561
DataAug,2.0,0.075,73.89666666666666,1.1619045667447188
DataAug,2.0,0.1,69.11999999999999,1.0704516180877386
DataAug,2.0,0.15,56.81333333333333,13.862121851369734
Dropout,0.525,0.0,71.76,0.0
Dropout,0.525,0.005,71.63333333333334,0.030912061651650793
Dropout,0.525,0.01,71.56,0.16062378404209
Dropout,0.525,0.02,71.48,0.22226110770892624
Dropout,0.525,0.03,71.24333333333333,0.4057366414587415
Dropout,0.525,0.05,71.07000000000001,0.6635259351876633
Dropout,0.525,0.075,67.76333333333334,1.9860569534185628
Dropout,0.525,0.1,69.22333333333334,0.9525521274741633
Dropout,0.525,0.15,59.666666666666664,7.804102909509983
GaussianNoise,0.01,0.0,69.63000000000001,0.0
GaussianNoise,0.01,0.005,69.67,0.09416297927883828
GaussianNoise,0.01,0.01,69.73666666666666,0.04988876515698229
GaussianNoise,0.01,0.02,69.53666666666668,0.1611072796479289
GaussianNoise,0.01,0.03,69.56333333333333,0.009428090415818758
GaussianNoise,0.01,0.05,69.13666666666666,0.14197026292697715
GaussianNoise,0.01,0.075,68.64333333333333,0.10402991022884424
GaussianNoise,0.01,0.1,67.86999999999999,0.545527267879431
GaussianNoise,0.01,0.15,67.29,1.0104784345381472
L1,0.0001,0.0,65.38000000000001,0.0
L1,0.0001,0.005,65.32666666666667,0.041899350299920604
L1,0.0001,0.01,65.33,0.06683312551921512
L1,0.0001,0.02,65.30666666666666,0.17745108872274587
L1,0.0001,0.03,64.89666666666668,0.5330624311987842
L1,0.0001,0.05,65.45,0.18991226044325824
L1,0.0001,0.075,65.51666666666667,0.34836124290103954
L1,0.0001,0.1,63.14666666666667,1.1401851701465922
L1,0.0001,0.15,63.52333333333333,0.6589048152469015
L2,0.0001,0.0,71.25,0.0
L2,0.0001,0.005,71.26666666666667,0.030912061651650793
L2,0.0001,0.01,71.25666666666666,0.06944222218666626
L2,0.0001,0.02,71.12666666666667,0.08259674462242789
L2,0.0001,0.03,70.99666666666667,0.5074336300334163
L2,0.0001,0.05,70.36,0.41206795556073483
L2,0.0001,0.075,68.85333333333334,0.4077853465843118
L2,0.0001,0.1,67.46000000000001,1.4832621705776357
L2,0.0001,0.15,59.78666666666667,2.384733854239409
