reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg_ORDERED,num_images,n_bins
BatchNorm,1.0,32,0.8889827904118008,1.0,conv1,train,2.444,25000,30
BatchNorm,1.0,32,0.8889827904118008,1.0,conv1,val,2.861862323294407,26032,30
BatchNorm,1.0,32,0.8889827904118008,1.0,conv3,train,0.664,25000,30
BatchNorm,1.0,32,0.8889827904118008,1.0,conv3,val,0.8796865396435156,26032,30
BatchNorm,1.0,32,0.8889827904118008,1.0,fc1,train,88.588,25000,30
BatchNorm,1.0,32,0.8889827904118008,1.0,fc1,val,87.0582360172096,26032,30
DataAug,1.0,57,0.8549861708666256,0.99156,conv1,train,4.852,25000,30
DataAug,1.0,57,0.8549861708666256,0.99156,conv1,val,5.462507682851875,26032,30
DataAug,1.0,57,0.8549861708666256,0.99156,conv3,train,69.724,25000,30
DataAug,1.0,57,0.8549861708666256,0.99156,conv3,val,71.02028272894898,26032,30
DataAug,1.0,57,0.8549861708666256,0.99156,fc1,train,100.0,25000,30
DataAug,1.0,57,0.8549861708666256,0.99156,fc1,val,100.0,26032,30
DataAug,2.0,57,0.905001536570375,0.92236,conv1,train,7.396,25000,30
DataAug,2.0,57,0.905001536570375,0.92236,conv1,val,8.21681007990166,26032,30
DataAug,2.0,57,0.905001536570375,0.92236,conv3,train,72.98,25000,30
DataAug,2.0,57,0.905001536570375,0.92236,conv3,val,67.98939766441303,26032,30
DataAug,2.0,57,0.905001536570375,0.92236,fc1,train,95.848,25000,30
DataAug,2.0,57,0.905001536570375,0.92236,fc1,val,96.20467117393977,26032,30
DataAug,3.0,58,0.907037492317148,0.89144,conv1,train,10.344000000000001,25000,30
DataAug,3.0,58,0.907037492317148,0.89144,conv1,val,11.578057775046096,26032,30
DataAug,3.0,58,0.907037492317148,0.89144,conv3,train,77.27199999999999,25000,30
DataAug,3.0,58,0.907037492317148,0.89144,conv3,val,73.83220651505839,26032,30
DataAug,3.0,58,0.907037492317148,0.89144,fc1,train,96.66799999999999,25000,30
DataAug,3.0,58,0.907037492317148,0.89144,fc1,val,96.93070067609096,26032,30
Dropout,0.1,60,0.886140135218193,0.9992,conv1,train,5.092,25000,30
Dropout,0.1,60,0.886140135218193,0.9992,conv1,val,5.566226183159189,26032,30
Dropout,0.1,60,0.886140135218193,0.9992,conv3,train,59.78,25000,30
Dropout,0.1,60,0.886140135218193,0.9992,conv3,val,60.337277197295634,26032,30
Dropout,0.1,60,0.886140135218193,0.9992,fc1,train,99.872,25000,30
Dropout,0.1,60,0.886140135218193,0.9992,fc1,val,99.96542716656423,26032,30
Dropout,0.15,57,0.8867931776275353,0.999,conv1,train,3.62,25000,30
Dropout,0.15,57,0.8867931776275353,0.999,conv1,val,4.002765826674862,26032,30
Dropout,0.15,57,0.8867931776275353,0.999,conv3,train,60.224,25000,30
Dropout,0.15,57,0.8867931776275353,0.999,conv3,val,61.27074370006146,26032,30
Dropout,0.15,57,0.8867931776275353,0.999,fc1,train,99.86,25000,30
