reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg,entropy,num_images,n_bins
BatchNorm,1.0,32,0.8889827904118008,1.0,conv1,train,0.04,0.3866461165845394,25000,10
BatchNorm,1.0,32,0.8889827904118008,1.0,conv1,val,0.046097111247695145,0.37195817370496614,26032,10
BatchNorm,1.0,32,0.8889827904118008,1.0,conv3,train,0.07200000000000001,0.012277054809629918,25000,10
BatchNorm,1.0,32,0.8889827904118008,1.0,conv3,val,0.07298709280885064,0.017841180113327963,26032,10
BatchNorm,1.0,32,0.8889827904118008,1.0,fc1,train,0.66,0.11780666214823723,25000,10
BatchNorm,1.0,32,0.8889827904118008,1.0,fc1,val,0.702980946527351,0.09895925333387989,26032,10
DataAug,1.0,57,0.8549861708666256,0.99156,conv1,train,0.13999999999999999,0.6123305437493324,25000,10
DataAug,1.0,57,0.8549861708666256,0.99156,conv1,val,0.13060848186846957,0.653133758838897,26032,10
DataAug,1.0,57,0.8549861708666256,0.99156,conv3,train,0.6799999999999999,0.2835272810071707,25000,10
DataAug,1.0,57,0.8549861708666256,0.99156,conv3,val,0.6876152427781193,0.2949357957859107,26032,10
DataAug,1.0,57,0.8549861708666256,0.99156,fc1,train,17.28,0.7550736823412776,25000,10
DataAug,1.0,57,0.8549861708666256,0.99156,fc1,val,17.04824830977259,0.7648179711683549,26032,10
DataAug,2.0,57,0.905001536570375,0.92236,conv1,train,0.17600000000000002,0.7377701103687286,25000,10
DataAug,2.0,57,0.905001536570375,0.92236,conv1,val,0.14981561155500922,0.7179009326422826,26032,10
DataAug,2.0,57,0.905001536570375,0.92236,conv3,train,0.516,0.6080623267626762,25000,10
DataAug,2.0,57,0.905001536570375,0.92236,conv3,val,0.49938537185003073,0.5817035479724668,26032,10
DataAug,2.0,57,0.905001536570375,0.92236,fc1,train,0.664,0.05926741924583912,25000,10
DataAug,2.0,57,0.905001536570375,0.92236,fc1,val,0.5800553165334972,0.05435277964975902,26032,10
DataAug,3.0,58,0.907037492317148,0.89144,conv1,train,0.208,0.6600927068150043,25000,10
DataAug,3.0,58,0.907037492317148,0.89144,conv1,val,0.18822987092808852,0.6819641471811247,26032,10
DataAug,3.0,58,0.907037492317148,0.89144,conv3,train,0.516,0.5952287279102206,25000,10
DataAug,3.0,58,0.907037492317148,0.89144,conv3,val,0.49938537185003073,0.5688984835329772,26032,10
